Board,Pile,Tile,Score
1352,1,3,-3
1056,2,4,10
1346,3,2,1
0344,1,1,3
0144,2,4,5
0152,3,1,6
1151,3,1,51
1140,1,1,38
0042,2,2,29
0254,1,1,13
1052,2,5,9
0314,3,4,5
1313,0,1,12
1140,2,1,-8
1331,2,3,7
1201,0,1,83
1006,3,2,5
1237,3,5,1
0230,1,2,-13
0237,2,2,-2
0027,3,7,-22
1333,3,1,9
0332,1,1,20
0132,2,3,10
1030,2,2,-28
1127,3,4,13
1120,2,1,25
1044,2,2,-1
1004,3,3,-16
1057,2,2,28
1027,3,4,20
1037,3,2,23
1247,3,7,1
1256,1,1,17
1106,3,3,3
0051,2,3,34
0342,3,1,14
0340,2,2,17
1047,3,2,6
1322,3,2,9
1120,1,1,16
1315,3,2,3
1207,1,1,46
1327,1,1,3
1127,2,2,13
1337,2,3,15
1335,3,1,8
0141,2,3,15
1326,3,2,5
1343,1,2,11
0143,2,2,3
0023,3,3,-16
0153,2,1,-3
0104,3,1,45
1227,3,5,11
1221,2,1,10
1056,2,2,21
1016,2,1,16
1354,3,1,18
0337,3,4,46
1346,2,1,-2
0027,3,6,14
1057,3,6,25
1334,1,3,6
1342,2,4,13
0302,3,2,7
0153,2,2,-1
0132,1,1,12
1231,3,1,-6
1340,1,2,26
1157,2,1,-9
0127,3,2,-1
0105,3,4,-12
1152,2,3,8
1112,1,1,13
1217,3,5,10
1147,3,4,11
1250,1,2,28
1203,3,1,11
1301,1,1,3
1327,3,1,6
0326,1,2,3
0026,3,1,4
0341,1,1,5
1337,1,3,3
1342,3,2,16
0027,3,1,11
1340,0,1,12
0121,2,2,-22
1057,3,1,15
1004,3,2,18
1153,2,5,21
1047,3,6,11
1154,3,2,23
1132,3,2,5
0052,2,5,-32
0043,3,2,11
1111,1,1,45
0055,3,5,-12
1054,2,1,-12
0044,3,2,11
1150,2,1,1
1040,2,2,34
0217,3,2,1
0137,2,3,28
0325,3,3,1
1311,0,1,33
0243,1,2,8
1220,0,1,23
0046,3,1,6
0043,2,2,16
1235,1,1,3
1130,0,1,21
1213,1,1,3
1013,3,3,-8
1054,2,5,2
0322,1,3,13
1344,2,4,15
1302,3,2,14
1152,2,5,-2
0330,2,2,21
1252,2,1,3
1241,1,1,5
1256,3,2,-2
0254,2,1,-1
1252,1,1,15
0131,2,3,-6
0327,3,5,28
0222,1,1,8
1053,2,5,2
1332,2,2,-1
1054,2,2,2
0325,2,1,2
1312,3,2,2
1312,1,3,-2
1344,2,2,-2
0324,1,2,-4
1351,1,3,29
1254,0,1,5
0207,3,2,13
1334,1,2,8
1034,3,2,5
1030,2,3,75
1317,3,1,11
1116,2,1,-1
0042,2,1,23
1147,2,4,3
1327,2,2,8
1154,1,1,46
1014,2,1,15
0027,3,4,31
1247,3,1,30
1243,2,4,5
1325,3,2,8
0323,3,1,6
0112,3,1,55
0334,3,4,13
0056,2,1,4
0307,3,6,50
0315,2,1,7
1351,0,1,32
1340,2,3,-2
1353,3,3,1
0055,2,5,7
0115,3,3,-6
1212,2,1,1
0114,2,1,2
1017,3,5,4
1217,3,4,10
0036,3,6,1
1105,1,1,1
1117,3,2,7
1330,2,1,3
1332,2,3,-6
1316,1,1,19
1215,3,3,-2
1306,3,3,3
0231,2,2,1
1125,2,1,-6
1332,3,1,-8
1131,1,1,3
0252,2,5,-2
1256,1,2,18
0206,3,2,6
0037,3,6,12
0147,3,4,-2
0141,1,1,24
1322,2,2,20
1253,0,1,23
0250,1,2,39
0056,3,5,16
1152,2,1,-3
1042,2,1,4
1203,3,3,10
0055,2,2,-5
1244,3,3,5
0215,2,1,4
1332,1,2,-6
1323,3,1,13
1156,2,1,3
1106,3,5,5
0323,2,1,8
1313,3,1,-3
0125,1,1,-3
1127,3,3,1
1024,3,4,-2
1331,2,1,-1
1307,3,6,20
1153,3,1,6
1122,2,2,-4
1343,2,1,-1
1033,0,1,7
1306,3,5,18
0211,3,1,27
0204,3,3,18
1247,2,4,4
0323,1,1,15
1251,2,3,-6
0114,3,4,-6
1154,3,1,6
1141,0,1,18
1335,3,3,10
1253,3,2,31
0202,3,2,-26
1106,0,1,15
0331,2,2,12
0217,3,1,3
0116,2,1,1
1254,2,1,-8
1243,3,2,-2
0241,1,2,6
1106,1,1,6
1005,3,2,11
0254,3,4,3
1314,2,1,-2
0114,3,1,3
0322,2,2,-5
1047,3,1,13
0046,2,4,6
1353,3,1,8
1015,0,1,-2
0055,2,4,6
0214,1,2,13
1027,3,2,15
1005,3,5,30
1151,2,4,-14
1112,3,1,-10
0053,3,3,1
0025,3,2,25
0216,3,2,-3
0043,2,3,4
1326,1,3,6
1025,0,1,15
0246,1,2,6
0036,2,3,2
1042,3,2,3
0257,3,6,57
1107,3,5,-4
1007,3,3,54
0254,3,1,10
1330,2,3,5
1114,3,4,5
0355,3,3,25
1312,3,1,35
1035,3,1,5
1032,2,3,5
1024,2,2,5
0355,2,1,-13
0344,3,3,-4
0340,1,3,2
1212,1,1,3
1335,3,4,10
1137,3,5,3
1007,3,1,17
1254,1,1,-3
0240,2,4,-4
1030,2,1,41
1057,3,7,44
1322,1,2,13
1335,2,3,8
0224,3,2,-4
0244,1,2,-4
0143,1,1,19
0253,1,2,13
0356,3,4,30
1252,2,4,6
0255,2,1,-2
0145,3,2,-2
0332,2,2,15
1212,0,1,-6
0136,2,3,6
0105,3,3,12
1053,2,1,33
1041,0,1,9
0215,3,5,-2
0131,2,2,15
0045,3,4,13
0223,2,2,10
0250,2,3,26
0355,2,5,7
1314,3,3,8
0156,1,1,7
1255,2,5,16
1017,3,6,15
0341,2,4,3
1316,1,2,12
1305,3,5,14
0240,2,2,18
1243,2,3,-2
0236,2,2,3
0116,3,1,5
1256,3,3,14
1203,0,1,0
1252,1,2,4
0253,2,2,3
0306,3,1,3
0302,1,3,-16
1034,2,3,1
1251,2,1,2
1231,1,2,-4
0055,3,1,14
1152,2,2,3
1032,2,2,-3
0227,1,2,14
0055,2,1,9
1150,2,4,65
0045,2,2,-11
0025,3,4,16
1256,2,5,10
0034,3,4,-6
1325,2,1,13
1215,1,1,-2
0115,3,5,-10
0354,2,1,1
0334,1,3,-2
0024,3,2,23
1157,2,2,-1
1341,2,4,10
0327,3,3,27
0124,2,1,18
0152,2,4,2
1206,3,2,-4
0244,2,1,5
0214,1,1,13
0322,2,1,2
1157,3,1,8
1014,0,1,31
0220,1,1,49
0246,2,3,8
1133,2,2,-2
0043,3,1,15
1055,3,3,7
0244,3,1,10
0223,3,2,3
0045,3,5,11
1151,2,1,3
1327,3,4,3
1101,3,1,-36
0311,1,2,30
0123,2,2,6
1343,0,1,14
1346,3,1,3
1315,1,1,13
0215,1,2,6
0056,2,5,-4
0303,1,3,-2
0042,2,3,9
0137,3,6,5
1004,3,1,6
1325,0,1,29
1306,3,4,13
0335,1,2,3
1113,0,1,3
0235,3,2,3
0133,3,3,6
0231,1,2,11
1342,2,1,3
1156,3,2,11
1057,3,2,29
1052,3,1,20
1202,1,1,-8
1046,2,4,-2
0147,3,6,10
0134,3,3,8
1137,3,6,11
0242,1,1,-6
1254,2,2,3
1034,0,1,5
0123,2,1,6
1337,3,3,10
0036,3,4,-2
0143,3,3,8
1351,2,3,19
1221,1,1,6
1206,0,1,9
1304,3,2,18
1047,2,2,18
1117,3,4,13
0243,3,3,1
1217,3,6,33
1210,1,1,50
1352,2,4,-3
0241,2,2,1
0220,2,2,-18
1150,2,2,-8
1350,2,2,29
1230,1,1,3
1120,0,1,12
1154,3,4,12
0227,3,6,5
1253,2,5,8
0047,2,3,11
1317,1,3,43
0047,2,4,-2
0341,1,3,16
0125,3,4,-6
1201,1,1,45
1155,3,5,18
0223,1,1,6
0122,3,1,16
0131,3,1,12
1107,3,1,7
0233,1,1,-4
0033,2,2,-9
1336,0,1,19
1334,2,3,10
0255,1,2,-2
0336,3,1,10
0235,3,1,3
0134,2,2,13
0151,2,1,12
1240,1,1,6
0315,3,3,3
1334,3,2,3
1032,3,1,-6
1156,3,1,5
1305,1,3,14
1344,3,4,-6
0251,2,5,3
1337,0,1,17
0031,2,1,63
0224,1,2,20
0232,3,2,4
0323,3,2,3
1055,3,5,1
1051,2,2,0
0214,3,3,10
1213,1,2,-4
1043,2,1,5
1032,2,1,6
1121,1,1,8
1025,2,2,5
1054,3,1,7
1144,2,4,5
0142,2,4,5
1252,2,5,10
1237,3,6,-1
0126,3,4,10
1202,3,1,11
1313,3,2,4
1333,2,2,3
1311,1,1,15
1022,3,1,19
1154,2,2,1
1346,0,1,38
1032,0,1,7
1017,3,7,-20
1223,0,1,13
0213,3,3,11
1327,1,3,7
1017,3,2,1
0146,1,1,6
1326,2,1,3
1333,2,3,13
0145,2,4,5
0251,2,2,-4
0233,1,2,7
1334,2,2,1
0314,1,1,5
1247,2,2,1
0034,2,2,19
0207,3,1,-13
0034,3,2,13
0341,2,2,8
0236,3,1,5
0035,3,3,16
1146,2,3,-2
0153,3,1,1
0206,3,3,13
1336,3,1,5
0203,3,1,26
1031,2,2,20
1157,1,1,34
0106,3,1,16
0037,3,7,6
1352,1,2,5
0324,3,2,5
1252,0,1,9
1325,1,3,10
0056,3,2,24
0054,3,1,13
0127,3,1,-6
1352,2,5,10
1325,1,1,9
1025,2,1,-4
1256,0,1,-3
0254,2,2,3
0233,3,3,10
1344,1,2,1
0306,1,2,26
0225,2,1,6
0212,1,2,16
0132,2,1,0
0207,3,7,-16
0246,2,1,3
0325,3,2,-2
1201,1,2,-16
1247,2,3,-3
0217,3,6,16
0217,3,4,5
0154,2,1,-6
0147,2,4,3
0254,3,2,-2
1240,2,1,3
1353,3,2,8
1127,3,5,10
1335,1,3,1
1015,3,1,-4
1031,2,1,-2
1153,3,3,6
0147,3,3,3
0143,2,3,1
0143,2,1,3
0332,3,2,1
0056,2,2,10
0316,3,5,-4
1127,3,1,6
1026,3,6,5
0343,2,2,-4
1337,3,4,-4
0147,3,1,1
0141,2,4,-8
0305,3,1,4
0355,2,4,-1
1315,2,1,6
1205,3,1,5
0304,3,4,-1
1237,3,1,11
1226,3,4,5
1022,2,1,15
1211,3,1,4
1053,2,4,0
0242,2,4,-2
0035,3,2,10
0142,3,2,11
1323,3,3,5
1055,2,3,13
1027,3,1,9
1025,3,5,10
0221,1,1,2
0237,1,1,11
0252,1,1,-12
0016,3,5,-28
1335,2,2,8
1117,3,3,11
1237,2,3,9
1016,3,5,10
1215,3,4,5
1354,3,3,11
1332,3,2,11
0203,3,2,27
1207,3,3,16
0045,2,3,5
0137,2,2,8
0106,3,4,15
1341,1,3,3
1306,3,2,18
0340,2,4,-8
0226,3,2,-2
1013,2,1,24
0252,3,2,12
0144,2,3,1
0144,3,4,8
1014,3,3,20
0323,2,2,-3
0134,3,1,3
0123,3,3,8
0313,3,1,-1
0244,1,1,6
1346,3,6,3
1353,1,1,8
0253,2,3,9
0246,3,2,1
0242,1,2,6
0341,2,3,-4
0253,3,2,13
0315,1,3,-1
0156,2,5,8
1117,3,1,1
1016,3,6,-4
1254,3,4,16
0046,2,1,3
0257,3,7,3
0053,3,1,31
1147,3,1,3
1143,2,2,-2
1327,3,2,-1
0333,3,3,18
1316,3,2,3
0314,3,3,-1
1230,0,1,13
1247,3,6,6
1324,1,2,3
1056,2,5,19
1355,2,4,-2
0115,3,2,3
0206,1,2,2
1021,2,1,20
0154,2,4,10
1321,1,1,15
0035,3,1,15
1037,3,5,21
0327,3,7,19
1315,3,3,6
0353,3,2,27
1053,2,3,6
1352,3,1,17
1202,3,2,8
0321,1,1,-5
1053,2,2,-3
0127,3,4,10
1151,2,2,16
1147,2,2,16
1322,2,1,2
1354,2,2,8
0343,1,2,5
0144,1,1,20
1147,2,3,7
0145,3,5,-2
1056,3,5,3
0214,3,2,15
0113,3,1,13
0033,2,3,5
1207,3,4,6
1132,2,1,5
0214,3,4,13
1253,1,2,13
0253,1,1,-3
1346,2,4,3
0314,3,1,7
0155,3,5,5
1343,1,1,1
0037,3,1,-10
1226,3,6,-2
1255,3,5,-2
1155,3,1,4
0142,2,2,3
1157,2,4,9
1006,3,3,6
1232,0,1,1
1253,2,2,3
0314,1,2,2
1336,2,1,-4
0133,2,2,6
0154,3,4,-2
1154,2,1,13
1345,3,4,-6
1335,1,1,13
1135,3,5,5
1117,3,5,21
1032,3,2,13
0227,3,7,5
1041,2,1,6
1130,2,1,6
1253,3,3,23
1043,3,1,15
0056,2,4,0
1321,0,1,9
1155,3,2,3
1157,3,5,-5
0325,2,2,-2
0126,3,2,5
0144,3,2,-2
1054,2,3,15
0155,2,1,-2
1105,3,2,1
0312,1,2,-7
1317,3,4,12
0116,3,2,5
0113,3,2,20
1323,3,2,1
1345,0,1,7
0046,3,6,20
1142,3,1,5
1354,1,1,1
0134,3,4,-2
0334,1,2,3
1256,3,6,3
1313,1,1,7
1036,3,3,-2
1340,2,4,11
1252,2,3,3
0241,2,3,5
1142,0,1,-4
1333,1,3,1
1035,0,1,6
0025,2,2,26
0254,3,3,5
1317,3,6,14
0147,1,1,21
0335,3,1,3
0334,2,1,5
0124,1,1,18
1125,2,2,-2
1005,3,4,-16
1342,2,2,3
1250,2,5,-1
0333,3,1,6
1305,1,2,3
1225,0,1,5
0216,1,2,10
0155,2,4,3
1227,3,1,20
0226,2,1,10
0243,3,1,-2
0042,2,4,-2
1137,3,2,5
1035,2,2,8
1155,3,3,-2
1332,2,1,8
0342,1,2,6
1157,2,5,18
0335,3,3,1
1256,3,4,-2
0217,3,3,23
1122,3,1,-2
1113,1,1,-1
1137,3,4,16
1041,2,4,-10
0316,1,3,10
1152,3,1,0
0132,3,2,-5
1156,2,2,-4
0234,3,2,1
0037,3,2,11
1244,3,4,-2
1353,2,4,15
1113,2,1,4
1345,2,1,-4
1037,3,6,10
0217,3,5,4
0252,2,2,4
1352,2,2,2
0134,2,3,3
1043,2,4,5
0305,3,4,15
1341,0,1,6
0126,2,2,1
0343,1,3,5
1047,3,3,-4
1024,2,1,-6
0216,3,6,15
0321,2,1,11
1006,3,1,-5
0224,2,1,13
1343,3,1,26
1242,1,2,3
1123,2,2,5
0035,3,4,4
0326,3,2,3
1105,3,1,10
1345,2,3,-4
0116,3,6,-4
0342,3,2,5
0035,2,2,-1
0254,2,5,-2
0146,3,3,3
0026,3,5,1
1256,3,1,8
1245,0,1,-2
0245,2,3,3
0205,3,4,21
1345,1,1,8
0245,3,4,10
0026,3,3,3
1012,3,2,-16
0331,1,2,8
1154,2,3,5
1316,1,3,-2
0044,3,3,4
0232,2,3,10
1205,3,4,13
0231,1,1,-2
0342,2,2,3
1316,3,6,5
0252,2,1,3
0333,1,1,3
0232,1,2,6
1305,3,4,3
1331,1,2,8
1016,3,1,5
1337,1,1,10
0237,3,5,10
1355,0,1,10
0253,3,1,-4
1055,2,1,-5
0315,3,5,-2
1025,3,1,1
0345,1,2,-2
1254,2,5,6
1037,3,4,4
0254,1,2,3
1346,3,4,10
1327,3,6,10
1106,3,4,-4
1232,1,2,5
1351,2,1,4
1023,0,1,4
1205,0,1,4
0306,1,3,26
1317,1,2,28
1112,0,1,-1
0144,2,2,8
1324,3,2,8
0035,2,3,-1
0242,2,2,3
1223,1,2,10
0117,3,7,-8
1045,0,1,5
1204,3,4,18
0036,3,5,3
1104,3,3,25
0324,1,1,3
0222,3,1,1
0044,3,1,6
1232,3,1,-2
1240,0,1,-6
0234,2,1,-2
0124,3,1,-2
1326,0,1,9
1237,3,2,6
0251,2,1,1
1337,3,5,-2
1204,0,1,11
0026,3,6,-8
0236,3,2,-4
1016,3,3,5
1220,1,2,5
1330,1,2,18
0323,3,3,-2
0126,2,1,-2
1117,3,7,30
1344,3,1,-4
1323,2,1,9
0313,1,2,1
1227,3,2,3
0145,3,1,-2
0216,3,1,-2
1226,3,3,5
1346,2,2,5
1226,0,1,5
1122,0,1,13
0151,2,3,4
1323,1,3,3
1155,2,1,3
1213,0,1,10
1023,3,3,-2
1334,1,1,15
1056,2,1,-1
0142,1,1,4
0143,3,1,8
1041,2,2,-6
1034,3,1,-2
1043,3,3,20
0334,2,3,3
1324,3,1,6
1123,3,3,-2
1147,3,2,10
1115,0,1,10
1037,3,1,3
0206,3,6,-4
0243,2,4,15
0224,2,2,-1
0242,2,1,-2
0222,1,2,-2
1213,3,1,10
1144,0,1,5
0025,3,1,7
0125,3,5,10
0146,2,3,-2
1225,1,1,3
1106,3,6,-4
1132,2,2,10
1346,2,3,-4
1327,3,5,-2
1316,3,4,5
1212,3,2,10
0155,3,1,3
0124,3,4,10
1340,1,1,13
1345,3,3,5
1141,3,1,5
0342,1,3,1
1131,2,3,5
1305,3,1,-8
0315,3,4,1
0117,3,2,6
1224,3,3,5
0156,3,4,3
0244,3,3,-4
1005,3,1,8
1336,3,2,8
1234,1,1,5
1034,2,2,5
1335,1,2,1
1125,1,1,-2
0242,3,2,-4
0126,3,1,5
1214,1,1,-4
0245,3,5,-2
0332,2,3,4
1354,3,4,-2
1231,2,1,5
1255,3,4,30
1241,0,1,5
1211,1,1,-2
1322,1,1,16
0316,3,3,10
0335,2,2,-2
1326,3,4,-2
1044,3,3,15
1217,3,1,8
1116,3,3,5
0225,1,2,-2
0315,3,1,8
1036,0,1,8
1341,1,1,10
1240,2,4,8
1126,3,1,5
0316,3,6,5
1036,2,3,8
1336,3,3,-4
1033,2,1,3
1044,2,1,5
1217,3,3,3
1304,3,3,-3
1046,2,1,3
1026,3,4,5
1327,1,2,-7
1123,1,1,-2
1042,3,1,-2
1133,2,1,-2
0136,3,1,5
1215,2,1,-2
0344,1,2,5
0317,3,3,11
1234,1,2,10
1237,3,7,-1
0335,1,1,8
1046,3,4,-2
0144,2,1,10
1155,2,5,1
1112,2,1,-4
1015,3,3,1
0234,1,2,-6
0227,2,2,10
1035,3,5,5
1230,2,3,3
1336,3,5,5
0240,1,2,-1
1306,3,6,-2
0237,3,7,-4
0244,3,4,-2
1324,3,3,-2
1144,2,1,-2
0342,2,1,3
1315,1,2,-3
1355,2,1,5
1045,2,1,5
0326,2,2,10
0235,1,1,-1
1013,3,1,8
0154,2,5,1
0135,3,3,3
0131,2,1,-3
0333,3,2,5
0126,3,5,-2
1325,3,5,5
1033,2,2,3
0046,3,4,-2
0332,1,3,-8
1227,3,3,-2
0135,3,1,5
1156,3,3,5
0123,3,1,10
1255,2,3,3
1335,3,5,5
0134,3,2,-2
1117,3,6,-10
1017,3,1,16
0216,1,1,8
0334,3,3,-2
1211,1,2,15
1345,1,3,8
0156,3,3,5
0333,2,3,8
0154,3,2,13
0132,2,2,11
0152,2,3,-2
1255,2,1,-2
1242,1,1,-2
0232,2,1,5
0343,3,1,-4
0234,3,4,5
0125,2,2,-2
0243,2,2,-2
0316,3,4,8
0235,2,3,5
0245,3,3,-2
1254,2,3,11
1124,3,2,5
1022,2,2,10
0144,3,3,-2
1256,2,1,3
1236,2,2,-2
0216,3,3,-2
1353,1,2,8
1121,2,2,10
1226,1,1,5
1116,3,4,5
1333,2,1,10
0305,3,5,-1
1154,2,5,20
1213,2,1,-2
1233,1,2,5
0326,1,3,-4
1243,2,2,-2
1026,3,5,3
1147,3,6,-4
1314,3,1,10
1224,2,1,-4
1211,2,1,-4
1204,3,3,8
0155,2,3,5
1237,3,3,-2
1355,2,5,3
1031,2,3,-6
1232,1,1,-2
1344,2,1,-2
0334,1,1,-4
0255,3,1,5
1314,3,4,3
0253,3,3,15
0241,2,1,5
1154,2,4,15
0135,2,2,-2
1046,0,1,5
0251,2,4,-4
1256,3,5,-4
0026,3,2,-4
1135,0,1,5
1034,3,3,-4
0153,2,3,5
0054,3,4,21
1006,3,6,20
1015,3,4,5
0153,2,5,-6
1143,3,2,-2
1231,2,2,5
1221,1,2,-2
0153,3,3,-2
1151,2,3,-6
1147,3,7,15
0235,2,1,5
0125,2,1,25
1124,2,2,10
0334,2,2,-4
0135,2,3,-6
1331,1,1,1
1146,3,2,10
1337,1,2,13
1142,2,2,5
1153,2,3,10
0227,3,5,5
1157,3,4,8
0224,3,3,5
1205,1,1,3
1353,2,3,-2
1223,2,1,-2
1115,3,5,5
0245,2,1,5
0343,2,1,3
1204,3,1,3
1226,3,2,-2
1221,0,1,3
1226,2,2,-4
1141,2,3,-2
1112,3,2,10
1220,2,2,3
0125,3,3,-2
1155,2,2,-6
1132,2,3,-2
0234,2,3,-4
1352,2,3,5
1013,0,1,10
0045,2,4,-6
1344,3,3,-2
1344,1,3,8
1327,3,3,-6
0035,3,5,-2
1336,2,2,5
0325,1,3,3
0137,3,2,-2
0045,3,3,-2
0236,2,3,3
0255,2,4,5
1131,3,1,10
1354,1,3,3
1043,2,2,-2
0145,2,3,5
0345,2,3,-2
1036,2,1,-2
0133,3,2,10
1115,3,2,-2
0343,1,1,-2
1044,3,4,5
1046,3,6,5
0253,2,4,-2
1111,2,1,25
0156,2,3,-2
1346,1,3,5
0143,3,2,-4
1342,2,3,-2
1206,1,2,8
0246,1,1,1
1227,3,7,-2
1241,3,1,10
0253,2,5,5
0046,2,2,-2
0252,2,3,10
0135,1,1,18
0215,3,3,-2
1023,3,2,3
0324,3,1,5
0145,2,1,-4
1346,3,3,-2
1205,3,3,3
1052,2,3,4
1323,1,1,8
0216,3,5,5
0141,2,2,3
1224,0,1,5
0326,1,1,5
1355,3,4,-2
0155,3,4,5
0125,3,2,5
1024,3,1,-4
0254,2,3,5
0056,3,1,5
1203,3,2,-2
1125,3,2,5
1303,3,2,3
1144,1,1,5
1345,3,2,-2
1231,2,3,-2
1327,3,7,1
0236,3,3,5
1306,3,1,-2
0245,3,2,-2
0242,2,3,-2
0141,2,1,3
1255,1,2,-6
1335,3,2,5
1033,3,3,3
0246,2,2,5
1316,3,1,5
1345,3,1,3
0133,3,1,5
1213,3,2,5
1140,2,4,-2
1355,1,3,5
1025,3,4,-4
0235,3,3,5
1324,1,1,-4
0224,3,1,-6
0243,3,2,5
1204,1,1,-4
1044,2,4,-2
1144,3,1,-2
1156,2,4,-2
1337,2,2,-2
0223,3,3,-4
0237,2,1,-2
1355,3,3,-2
0315,1,2,5
1232,3,2,5
0156,3,5,5
1043,3,2,-2
0345,1,3,5
1354,2,1,-2
0316,1,2,18
0147,2,3,-2
1355,3,1,5
1240,1,2,5
1125,3,4,5
1353,1,3,5
1337,3,1,-2
1033,3,2,-2
1342,1,2,5
1135,2,1,5
1123,3,2,-2
0147,2,2,3
1215,0,1,5
1212,1,2,-2
1042,2,3,-2
1142,1,1,5
1241,2,2,5
1315,3,5,10
0255,3,5,-2
0223,3,1,5
1214,0,1,-2
0224,3,4,-2
0135,3,5,-2
0126,3,6,5
0333,2,1,-2
0206,3,4,-4
1206,1,1,5
0233,3,1,8
1042,2,2,-2
1315,1,3,5
1204,1,2,5
0237,2,3,5
0344,2,3,-2
1133,3,1,-2
1126,2,2,-2
1132,0,1,-2
1113,3,1,3
1311,1,2,-2
0046,3,2,5
1156,3,4,5
1144,2,2,-4
0156,3,6,-2
1352,1,1,5
1222,3,2,5
0046,3,5,-2
1034,2,1,5
0226,3,3,5
1114,3,3,-2
1026,2,2,-2
1115,1,1,-2
0334,3,1,-2
1025,3,2,5
1242,3,1,-2
0234,2,2,-2
0036,3,1,15
1343,2,4,5
0215,3,2,-2
1247,3,2,5
0255,1,1,-2
1233,1,1,5
1122,2,1,5
1104,3,1,-2
0137,3,4,-2
0146,2,2,-2
0324,3,4,5
1235,2,2,-2
0236,1,2,-2
1332,1,1,-2
1222,3,1,-2
